ProcessName , Mobile Device Vitals
StartReplayTime ,	2020-02-05 12:39:35
Limits			,-1		,-1 
Time  ,  Cpu (in %) ,  Free Memory (in KB) 
2020-02-05 12:39:35   ,  0 ,  0 
2020-02-05 12:39:37 ,  0 ,  0
2020-02-05 12:39:38 ,  0 ,  0
2020-02-05 12:39:39 ,  0 ,  0
2020-02-05 12:39:40 ,  0 ,  0
2020-02-05 12:39:41 ,  0 ,  0
2020-02-05 12:39:42 ,  0 ,  0
2020-02-05 12:39:43 ,  0 ,  0
2020-02-05 12:39:44 ,  0 ,  0
2020-02-05 12:39:45 ,  0 ,  0
2020-02-05 12:39:46 ,  0 ,  0
2020-02-05 12:39:47 ,  0 ,  0
2020-02-05 12:39:48 ,  0 ,  0
2020-02-05 12:39:49 ,  0 ,  0
2020-02-05 12:39:50 ,  0 ,  0
2020-02-05 12:39:51 ,  0 ,  0
2020-02-05 12:39:52 ,  0 ,  0
2020-02-05 12:39:53 ,  0 ,  0
2020-02-05 12:39:54 ,  0 ,  0
2020-02-05 12:39:55 ,  0 ,  0
2020-02-05 12:39:56 ,  0 ,  0
2020-02-05 12:39:57 ,  0 ,  0
2020-02-05 12:39:58 ,  0 ,  0
2020-02-05 12:39:59 ,  0 ,  0
2020-02-05 12:40:00 ,  0 ,  0
2020-02-05 12:40:01 ,  0 ,  0
2020-02-05 12:40:02 ,  0 ,  0
2020-02-05 12:40:03 ,  0 ,  0
2020-02-05 12:40:04 ,  0 ,  0
2020-02-05 12:40:05 ,  0 ,  0
2020-02-05 12:40:06 ,  9 ,  760936
2020-02-05 12:40:07 ,  8 ,  769076
2020-02-05 12:40:08 ,  21 ,  758756
2020-02-05 12:40:09 ,  21 ,  758756
2020-02-05 12:40:10 ,  0 ,  747368
2020-02-05 12:40:11 ,  0 ,  747196
2020-02-05 12:40:12 ,  0 ,  747196
2020-02-05 12:40:13 ,  4 ,  743928
2020-02-05 12:40:14 ,  0 ,  742648
2020-02-05 12:40:15 ,  0 ,  718848
2020-02-05 12:40:16 ,  0 ,  718848
2020-02-05 12:40:17 ,  14 ,  737780
2020-02-05 12:40:18 ,  1 ,  746400
2020-02-05 12:40:19 ,  1 ,  746400
2020-02-05 12:40:20 ,  0 ,  747676
2020-02-05 12:40:21 ,  0 ,  754616
2020-02-05 12:40:22 ,  0 ,  753440
2020-02-05 12:40:23 ,  0 ,  753440
2020-02-05 12:40:24 ,  1 ,  752112
2020-02-05 12:40:26 ,  0 ,  752792
2020-02-05 12:40:26 ,  0 ,  743136
2020-02-05 12:40:27 ,  0 ,  743136
2020-02-05 12:40:28 ,  1 ,  746260
2020-02-05 12:40:29 ,  0 ,  747324
2020-02-05 12:40:30 ,  0 ,  747324
2020-02-05 12:40:31 ,  0 ,  768020
2020-02-05 12:40:32 ,  1 ,  776016
2020-02-05 12:40:33 ,  0 ,  774180
2020-02-05 12:40:34 ,  0 ,  774180
2020-02-05 12:40:35 ,  0 ,  777840
2020-02-05 12:40:36 ,  2 ,  764868
2020-02-05 12:40:37 ,  2 ,  764868
2020-02-05 12:40:38 ,  0 ,  777552
2020-02-05 12:40:40 ,  0 ,  777724
2020-02-05 12:40:40 ,  4 ,  763944
2020-02-05 12:40:41 ,  4 ,  763944
2020-02-05 12:40:42 ,  4 ,  773276
2020-02-05 12:40:43 ,  1 ,  768968
2020-02-05 12:40:44 ,  1 ,  768968
2020-02-05 12:40:45 ,  0 ,  769648
2020-02-05 12:40:46 ,  2 ,  770764
2020-02-05 12:40:47 ,  0 ,  768876
2020-02-05 12:40:48 ,  0 ,  768876
2020-02-05 12:40:49 ,  0 ,  766636
2020-02-05 12:40:50 ,  0 ,  765404
2020-02-05 12:40:51 ,  0 ,  764764
2020-02-05 12:40:52 ,  0 ,  764764
2020-02-05 12:40:53 ,  0 ,  766052
2020-02-05 12:40:54 ,  0 ,  762216
2020-02-05 12:40:55 ,  0 ,  762216
2020-02-05 12:40:56 ,  0 ,  773516
2020-02-05 12:40:57 ,  6 ,  762368
2020-02-05 12:40:58 ,  3 ,  773152
2020-02-05 12:40:59 ,  3 ,  773152
2020-02-05 12:41:00 ,  4 ,  771664
2020-02-05 12:41:01 ,  0 ,  763944
2020-02-05 12:41:02 ,  0 ,  763944
2020-02-05 12:41:03 ,  3 ,  769988
2020-02-05 12:41:04 ,  0 ,  763648
2020-02-05 12:41:05 ,  0 ,  762868
2020-02-05 12:41:06 ,  0 ,  762868
2020-02-05 12:41:07 ,  0 ,  763292
2020-02-05 12:41:08 ,  0 ,  763068
2020-02-05 12:41:10 ,  0 ,  765316
2020-02-05 12:41:10 ,  0 ,  765316
